iter	Passed	Remaining
0	25	10341
1	50	10095
2	75	9962
3	98	9761
4	123	9750
5	149	9816
6	174	9800
7	200	9815
8	226	9852
9	252	9836
10	276	9785
11	301	9749
12	328	9773
13	354	9771
14	379	9749
15	406	9744
16	433	9760
17	457	9717
18	482	9668
19	510	9708
20	540	9762
21	566	9738
22	593	9728
23	619	9702
24	645	9683
25	672	9667
26	697	9638
27	723	9610
28	746	9555
29	770	9507
30	794	9458
31	819	9421
32	843	9381
33	867	9342
34	892	9305
35	918	9283
36	943	9252
37	966	9211
38	992	9185
39	1015	9142
40	1040	9114
41	1065	9085
42	1090	9053
43	1115	9022
44	1139	8989
45	1166	8979
46	1191	8950
47	1216	8917
48	1241	8892
49	1264	8854
50	1288	8819
51	1312	8784
52	1337	8755
53	1361	8726
54	1386	8695
55	1409	8661
56	1433	8626
57	1457	8596
58	1482	8567
59	1508	8545
60	1533	8522
61	1559	8499
62	1585	8483
63	1613	8469
64	1642	8464
65	1669	8448
66	1696	8433
67	1725	8424
68	1751	8402
69	1781	8398
70	1814	8407
71	1844	8402
72	1873	8391
73	1902	8379
74	1929	8361
75	1954	8330
76	1977	8296
77	2001	8261
78	2026	8232
79	2052	8210
80	2076	8178
81	2102	8152
82	2126	8123
83	2152	8098
84	2177	8068
85	2201	8038
86	2228	8016
87	2254	7993
88	2281	7973
89	2307	7947
90	2331	7918
91	2355	7884
92	2378	7850
93	2401	7819
94	2427	7794
95	2454	7772
96	2481	7750
97	2505	7720
98	2528	7688
99	2552	7656
100	2576	7626
101	2598	7591
102	2623	7564
103	2648	7538
104	2672	7508
105	2697	7481
106	2721	7451
107	2746	7424
108	2771	7398
109	2796	7371
110	2818	7338
111	2841	7307
112	2864	7276
113	2888	7246
114	2912	7218
115	2936	7189
116	2960	7161
117	2985	7133
118	3008	7105
119	3035	7083
120	3060	7057
121	3087	7035
122	3111	7006
123	3134	6977
124	3158	6948
125	3181	6918
126	3202	6885
127	3224	6852
128	3246	6819
129	3267	6786
130	3289	6754
131	3311	6723
132	3334	6693
133	3356	6662
134	3377	6630
135	3400	6600
136	3423	6572
137	3448	6546
138	3470	6517
139	3494	6489
140	3517	6461
141	3544	6439
142	3570	6417
143	3596	6393
144	3622	6371
145	3647	6345
146	3670	6316
147	3692	6286
148	3714	6256
149	3737	6228
150	3760	6200
151	3782	6171
152	3806	6144
153	3828	6115
154	3851	6088
155	3874	6059
156	3898	6034
157	3927	6015
158	3955	5996
159	3984	5976
160	4010	5953
161	4035	5929
162	4062	5906
163	4088	5883
164	4116	5862
165	4143	5841
166	4167	5814
167	4189	5785
168	4212	5758
169	4236	5731
170	4261	5707
171	4287	5682
172	4313	5659
173	4336	5632
174	4361	5607
175	4385	5581
176	4410	5556
177	4434	5531
178	4457	5503
179	4481	5477
180	4504	5450
181	4528	5424
182	4551	5396
183	4574	5370
184	4598	5344
185	4623	5319
186	4647	5293
187	4671	5268
188	4694	5241
189	4717	5213
190	4741	5187
191	4765	5162
192	4789	5137
193	4813	5111
194	4836	5084
195	4862	5060
196	4889	5038
197	4913	5013
198	4938	4987
199	4963	4963
200	4988	4938
201	5013	4914
202	5036	4887
203	5059	4861
204	5082	4834
205	5106	4809
206	5129	4782
207	5153	4756
208	5175	4730
209	5197	4702
210	5218	4674
211	5240	4647
212	5263	4621
213	5288	4596
214	5310	4569
215	5333	4543
216	5356	4517
217	5379	4491
218	5402	4464
219	5424	4437
220	5446	4411
221	5469	4385
222	5494	4361
223	5516	4334
224	5539	4308
225	5563	4283
226	5586	4257
227	5610	4232
228	5632	4205
229	5654	4179
230	5677	4153
231	5698	4126
232	5721	4100
233	5744	4074
234	5766	4048
235	5788	4022
236	5810	3996
237	5833	3970
238	5859	3947
239	5890	3927
240	5919	3905
241	5965	3894
242	6000	3876
243	6031	3855
244	6058	3832
245	6086	3810
246	6114	3787
247	6152	3770
248	6179	3747
249	6205	3723
250	6231	3699
251	6258	3675
252	6284	3651
253	6309	3626
254	6333	3601
255	6359	3577
256	6385	3552
257	6409	3527
258	6433	3502
259	6458	3477
260	6482	3452
261	6505	3426
262	6527	3400
263	6549	3373
264	6572	3348
265	6596	3323
266	6615	3295
267	6640	3270
268	6667	3246
269	6695	3223
270	6725	3201
271	6753	3177
272	6778	3153
273	6802	3128
274	6826	3102
275	6851	3078
276	6883	3056
277	6913	3033
278	6940	3009
279	6968	2986
280	6993	2961
281	7018	2936
282	7042	2911
283	7067	2886
284	7091	2861
285	7114	2835
286	7160	2819
287	7188	2795
288	7215	2771
289	7240	2746
290	7265	2721
291	7289	2695
292	7311	2670
293	7337	2645
294	7362	2620
295	7386	2595
296	7410	2570
297	7443	2547
298	7475	2525
299	7499	2499
300	7524	2474
301	7556	2452
302	7588	2429
303	7619	2406
304	7649	2382
305	7681	2359
306	7711	2335
307	7739	2311
308	7768	2287
309	7794	2262
310	7821	2238
311	7848	2213
312	7876	2189
313	7912	2167
314	7940	2142
315	7977	2120
316	8003	2095
317	8034	2071
318	8068	2048
319	8102	2025
320	8132	2001
321	8168	1978
322	8200	1954
323	8230	1930
324	8258	1905
325	8285	1880
326	8313	1855
327	8338	1830
328	8367	1805
329	8395	1780
330	8420	1755
331	8444	1729
332	8467	1703
333	8498	1679
334	8527	1654
335	8556	1629
336	8585	1604
337	8608	1579
338	8631	1553
339	8656	1527
340	8680	1501
341	8709	1477
342	8736	1451
343	8762	1426
344	8788	1401
345	8824	1377
346	8852	1352
347	8879	1326
348	8906	1301
349	8941	1277
350	8970	1252
351	8997	1226
352	9022	1201
353	9048	1175
354	9072	1150
355	9100	1124
356	9125	1099
357	9150	1073
358	9173	1047
359	9195	1021
360	9222	996
361	9245	970
362	9273	945
363	9299	919
364	9328	894
365	9358	869
366	9387	844
367	9412	818
368	9437	792
369	9466	767
370	9490	741
371	9514	716
372	9548	691
373	9574	665
374	9602	640
375	9629	614
376	9654	588
377	9676	563
378	9702	537
379	9725	511
380	9748	486
381	9771	460
382	9801	435
383	9827	409
384	9853	383
385	9880	358
386	9906	332
387	9934	307
388	9959	281
389	9987	256
390	10015	230
391	10043	204
392	10073	179
393	10103	153
394	10134	128
395	10165	102
396	10190	77
397	10214	51
398	10235	25
399	10259	0
