iter	Logloss
0	0.6816327881
1	0.670599265
2	0.6603707287
3	0.6507915821
4	0.6400671149
5	0.6306658135
6	0.6235843057
7	0.6184554699
8	0.6134228563
9	0.6053937858
10	0.6011129954
11	0.5952124195
12	0.5900185317
13	0.5864059291
14	0.5826990035
15	0.5774564084
16	0.5742367785
17	0.5715021922
18	0.568662533
19	0.565841933
20	0.5626780598
21	0.5600029287
22	0.5566844635
23	0.5535106009
24	0.5507158319
25	0.5486533062
26	0.5460711802
27	0.5443246079
28	0.5427389537
29	0.5409550578
30	0.539593279
31	0.5380401907
32	0.5367997666
33	0.5352678894
34	0.5337155229
35	0.5325227982
36	0.531460908
37	0.5293142581
38	0.5282396234
39	0.52723454
40	0.5261747043
41	0.5241880652
42	0.5224061994
43	0.5216266647
44	0.5208733933
45	0.5202147669
46	0.519419583
47	0.5186899092
48	0.5178421493
49	0.5163572962
50	0.5158286464
51	0.5152038037
52	0.5139249098
53	0.5134701081
54	0.5125739482
55	0.5120108236
56	0.5115169319
57	0.5110747479
58	0.5105538284
59	0.5101805959
60	0.5096982985
61	0.5092240224
62	0.50848984
63	0.5077903838
64	0.506812013
65	0.5065237538
66	0.5058123508
67	0.5051933922
68	0.5048424576
69	0.5043219074
70	0.5040328602
71	0.5033539824
72	0.5030973803
73	0.5027889294
74	0.5025757086
75	0.5020346232
76	0.5018113646
77	0.5015305872
78	0.5013330848
79	0.5011524481
80	0.5009785303
81	0.5008023538
82	0.5006503215
83	0.5004331609
84	0.5001434879
85	0.4999201533
86	0.4996532995
87	0.4994493677
88	0.4993236365
89	0.4991273321
90	0.4989799392
91	0.4988359164
92	0.498682848
93	0.4985073617
94	0.4983554443
95	0.4982100968
96	0.4979716049
97	0.4978810255
98	0.4977577735
99	0.497646711
100	0.4975350725
101	0.4973975123
102	0.4972443166
103	0.496996441
104	0.4969010705
105	0.4966812764
106	0.4965990282
107	0.4964770663
108	0.4962582128
109	0.4961898122
110	0.4960923991
111	0.4957863506
112	0.4956858776
113	0.4956175228
114	0.4955343605
115	0.4954708313
116	0.4953876584
117	0.4950796863
118	0.4950048006
119	0.4949362546
120	0.4948542838
121	0.4946078028
122	0.4945432139
123	0.4944902363
124	0.4942654112
125	0.4940505575
126	0.4940055227
127	0.4939524135
128	0.4938811553
129	0.4938505082
130	0.4938099967
131	0.493734272
132	0.4936653638
133	0.4936145372
134	0.4935780468
135	0.4935251842
136	0.4934602626
137	0.4933965714
138	0.4933563254
139	0.4933101585
140	0.4932614887
141	0.4930848664
142	0.4930393398
143	0.4929974335
144	0.4929406816
145	0.4928840013
146	0.4928306979
147	0.4927668309
148	0.492724122
149	0.4925836762
150	0.4925470083
151	0.4924038055
152	0.4923602174
153	0.4923134745
154	0.4922814576
155	0.4922521897
156	0.4921708392
157	0.4921390878
158	0.4919716927
159	0.4919391387
160	0.4919101841
161	0.4918799304
162	0.4918549192
163	0.4918121562
164	0.4917629475
165	0.4917161297
166	0.4916906648
167	0.4916693903
168	0.4916347415
169	0.4916072886
170	0.4915742662
171	0.4915371788
172	0.4914150117
173	0.4913876628
174	0.491353941
175	0.4913236985
176	0.4912068366
177	0.4911880236
178	0.4911472433
179	0.4911269119
180	0.4910920998
181	0.4910684127
182	0.4910371126
183	0.4910048513
184	0.490974695
185	0.490948788
186	0.4909276875
187	0.4909090487
188	0.4908123586
189	0.4907931979
190	0.4907159534
191	0.4906910809
192	0.4906598793
193	0.4906378123
194	0.4906147597
195	0.4905733125
196	0.4905536701
197	0.4905305388
198	0.4905144492
199	0.4904866067
200	0.4904706332
201	0.4904508672
202	0.4904330949
203	0.4904136719
204	0.4903972505
205	0.4903688562
206	0.490339887
207	0.4903263282
208	0.4903056847
209	0.4902848963
210	0.4902676176
211	0.4902429813
212	0.4902235899
213	0.4901979099
214	0.4901708188
215	0.4901531301
216	0.4901286462
217	0.4900321843
218	0.4899996052
219	0.4899791653
220	0.4899631992
221	0.4899338042
222	0.4899183902
223	0.4899011941
224	0.4898862182
225	0.4898669945
226	0.4898447423
227	0.4898262045
228	0.4898082041
229	0.4897911185
230	0.489771072
231	0.4897536779
232	0.4897359403
233	0.4897246462
234	0.489711248
235	0.4896963721
236	0.4896458149
237	0.489570936
238	0.4895497548
239	0.4895352075
240	0.4895192462
241	0.4895079679
242	0.4894932595
243	0.4894822676
244	0.4894733076
245	0.4894385211
246	0.4894155376
247	0.4893628507
248	0.489350283
249	0.489337167
250	0.4893213998
251	0.4893012455
252	0.4892891882
253	0.4892753138
254	0.4892552614
255	0.4892283342
256	0.4892126514
257	0.489197641
258	0.4891781643
259	0.4891652248
260	0.4891485802
261	0.4891301174
262	0.4891139765
263	0.4890978067
264	0.4890833782
265	0.4890709588
266	0.4890606135
267	0.4890517845
268	0.4889912004
269	0.4889492722
270	0.4889191894
271	0.4889015636
272	0.4888949755
273	0.4888834998
274	0.4888197533
275	0.488810341
276	0.4887965825
277	0.4887425757
278	0.4887340115
279	0.488716203
280	0.4887018512
281	0.4886886273
282	0.4886733614
283	0.4886609904
284	0.4886490142
285	0.4886376158
286	0.4886211082
287	0.4886103099
288	0.4885983858
289	0.48858413
290	0.4885745885
291	0.4885638911
292	0.4885504222
293	0.4885403655
294	0.4885307177
295	0.4885183326
296	0.4885055017
297	0.488495661
298	0.4884831893
299	0.4884696213
