iter	Passed	Remaining
0	24	7232
1	49	7325
2	74	7339
3	100	7467
4	129	7626
5	155	7625
6	186	7810
7	216	7902
8	246	7963
9	274	7970
10	305	8020
11	334	8033
12	365	8058
13	393	8045
14	422	8020
15	448	7967
16	476	7932
17	504	7907
18	532	7873
19	559	7838
20	588	7818
21	615	7778
22	643	7747
23	668	7686
24	694	7644
25	725	7650
26	753	7621
27	781	7592
28	809	7568
29	837	7537
30	865	7512
31	891	7468
32	918	7435
33	948	7418
34	974	7380
35	1002	7349
36	1030	7324
37	1056	7287
38	1083	7253
39	1111	7227
40	1140	7205
41	1165	7158
42	1190	7116
43	1218	7091
44	1246	7061
45	1273	7029
46	1299	6996
47	1327	6971
48	1356	6948
49	1383	6917
50	1411	6889
51	1438	6862
52	1467	6841
53	1495	6811
54	1522	6783
55	1548	6748
56	1576	6719
57	1602	6685
58	1628	6653
59	1654	6619
60	1680	6585
61	1709	6561
62	1734	6523
63	1760	6491
64	1786	6458
65	1814	6434
66	1841	6403
67	1867	6372
68	1893	6340
69	1922	6317
70	1950	6292
71	1979	6267
72	2004	6231
73	2031	6203
74	2059	6177
75	2086	6149
76	2112	6118
77	2140	6090
78	2166	6059
79	2193	6031
80	2223	6011
81	2250	5984
82	2278	5956
83	2304	5925
84	2330	5894
85	2357	5866
86	2387	5844
87	2413	5814
88	2438	5782
89	2464	5750
90	2490	5720
91	2520	5697
92	2548	5672
93	2576	5645
94	2603	5618
95	2632	5593
96	2658	5564
97	2684	5533
98	2712	5506
99	2739	5478
100	2765	5449
101	2793	5423
102	2819	5393
103	2847	5365
104	2871	5333
105	2897	5302
106	2922	5271
107	2948	5241
108	2974	5212
109	2999	5181
110	3026	5152
111	3053	5124
112	3079	5095
113	3104	5066
114	3134	5042
115	3163	5017
116	3191	4991
117	3217	4961
118	3245	4935
119	3270	4906
120	3298	4879
121	3325	4851
122	3351	4823
123	3376	4793
124	3403	4764
125	3428	4734
126	3454	4706
127	3482	4679
128	3511	4654
129	3536	4625
130	3565	4599
131	3596	4577
132	3633	4562
133	3671	4547
134	3705	4529
135	3736	4505
136	3765	4479
137	3794	4454
138	3822	4427
139	3852	4403
140	3884	4380
141	3912	4352
142	3940	4326
143	3972	4303
144	4006	4282
145	4038	4259
146	4068	4234
147	4102	4213
148	4134	4189
149	4164	4164
150	4196	4141
151	4226	4115
152	4258	4091
153	4289	4066
154	4320	4041
155	4348	4013
156	4377	3986
157	4406	3960
158	4434	3932
159	4459	3902
160	4486	3873
161	4515	3846
162	4543	3818
163	4570	3789
164	4597	3761
165	4624	3733
166	4652	3705
167	4678	3675
168	4707	3648
169	4733	3619
170	4761	3592
171	4789	3564
172	4814	3534
173	4841	3505
174	4866	3476
175	4894	3448
176	4923	3421
177	4951	3393
178	4979	3366
179	5005	3337
180	5031	3308
181	5061	3281
182	5088	3253
183	5112	3223
184	5139	3194
185	5165	3166
186	5194	3138
187	5220	3110
188	5246	3081
189	5271	3051
190	5296	3022
191	5324	2994
192	5350	2966
193	5376	2937
194	5402	2908
195	5427	2880
196	5456	2853
197	5483	2825
198	5511	2797
199	5537	2768
200	5563	2740
201	5593	2713
202	5619	2685
203	5645	2656
204	5671	2628
205	5698	2600
206	5726	2572
207	5750	2543
208	5778	2516
209	5805	2488
210	5833	2460
211	5859	2432
212	5884	2403
213	5912	2376
214	5937	2347
215	5963	2318
216	5988	2290
217	6013	2261
218	6038	2233
219	6064	2205
220	6090	2177
221	6118	2149
222	6146	2122
223	6171	2093
224	6198	2066
225	6224	2037
226	6251	2010
227	6278	1982
228	6302	1954
229	6331	1927
230	6361	1900
231	6386	1871
232	6412	1843
233	6438	1815
234	6463	1787
235	6488	1759
236	6514	1731
237	6540	1703
238	6567	1676
239	6593	1648
240	6622	1621
241	6647	1593
242	6673	1565
243	6698	1537
244	6725	1509
245	6749	1481
246	6778	1454
247	6811	1428
248	6837	1400
249	6862	1372
250	6889	1345
251	6916	1317
252	6943	1289
253	6971	1262
254	6996	1234
255	7023	1207
256	7048	1179
257	7073	1151
258	7097	1123
259	7124	1096
260	7152	1068
261	7178	1041
262	7204	1013
263	7227	985
264	7256	958
265	7282	930
266	7311	903
267	7334	875
268	7358	848
269	7384	820
270	7410	792
271	7435	765
272	7458	737
273	7484	710
274	7509	682
275	7536	655
276	7563	628
277	7589	600
278	7615	573
279	7640	545
280	7665	518
281	7690	490
282	7717	463
283	7744	436
284	7771	409
285	7799	381
286	7825	354
287	7853	327
288	7879	299
289	7910	272
290	7936	245
291	7962	218
292	7991	190
293	8014	163
294	8039	136
295	8065	108
296	8091	81
297	8118	54
298	8142	27
299	8168	0
